Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date
Crate.io Inc.,https://www.crunchbase.com/organization/crate-technology,Seed,2600000,11/1/15
SATLANTIS,https://www.crunchbase.com/organization/satlantis,Series A,2500000,11/7/16
Crate.io Inc.,https://www.crunchbase.com/organization/crate-technology,Seed,2500000,7/1/16
CharityStars,https://www.crunchbase.com/organization/charitystars,Series A,2000000,8/8/16
Looklive,https://www.crunchbase.com/organization/looklive,Series A,2000000,9/7/15
Net Reviews,https://www.crunchbase.com/organization/net-reviews,Series A,2000000,4/7/14
opvizor,https://www.crunchbase.com/organization/opvizor,Series A,2000000,1/1/12
"SEPIN, Inc",https://www.crunchbase.com/organization/sepin-inc,Seed,150000,4/1/16
íîasys,https://www.crunchbase.com/organization/íîasys-2,Seed,15000,12/18/14
Adapt Ready,https://www.crunchbase.com/organization/adapt-ready,Seed,15000,4/26/17
Aware 247,https://www.crunchbase.com/organization/aware-247,Seed,15000,7/11/15
BabyWatch,https://www.crunchbase.com/organization/babywatch,Seed,15000,8/5/13
ChatLingual,https://www.crunchbase.com/organization/chatlingual,Seed,15000,8/5/13
Copy Me That,https://www.crunchbase.com/organization/copy-me-that,Seed,15000,8/10/14
Epiphyte,https://www.crunchbase.com/organization/epiphyte,Seed,15000,7/21/14
Frizbit,https://www.crunchbase.com/organization/frizbit,Seed,15000,11/28/16
Goot,https://www.crunchbase.com/organization/goot,Seed,15000,3/2/15
Kinems Learning Games,https://www.crunchbase.com/organization/kinems-learning-games,Seed,15000,1/2/13
Monument,https://www.crunchbase.com/organization/monument,Seed,15000,9/1/15
Mr Patch,https://www.crunchbase.com/organization/mr-patch,Seed,15000,8/10/14
NotesFirst,https://www.crunchbase.com/organization/notesfirst,Seed,15000,2/26/12
PhotoSpotLand,https://www.crunchbase.com/organization/photospotland,Seed,15000,4/2/15
Prospero BioSciences,https://www.crunchbase.com/organization/prospero-biosciences,Seed,15000,11/11/13
Punctil,https://www.crunchbase.com/organization/punctil,Seed,15000,1/25/13
Raidarrr,https://www.crunchbase.com/organization/raidarrr,Seed,15000,9/3/12
Respi,https://www.crunchbase.com/organization/respi,Seed,15000,10/6/14
Retora Black,https://www.crunchbase.com/organization/retora-black,Seed,15000,8/1/13
Sixa,https://www.crunchbase.com/organization/sixa,Seed,15000,9/1/15
Slimcard,https://www.crunchbase.com/organization/slimcard,Seed,15000,8/9/15
Smart Moderation,https://www.crunchbase.com/organization/smart-moderation,Seed,15000,5/16/14
Tab Solutions,https://www.crunchbase.com/organization/tab-solutions,Seed,15000,7/21/14
Tourism4me,https://www.crunchbase.com/organization/tourism4me,Seed,15000,9/25/15
Tradle,https://www.crunchbase.com/organization/tradle,Seed,15000,7/19/15
Ukky,https://www.crunchbase.com/organization/ukky,Seed,15000,2/27/15
Wagaduu!,https://www.crunchbase.com/organization/wagaduu,Seed,15000,2/27/15
Zeplin,https://www.crunchbase.com/organization/zeplin,Seed,15000,5/16/14
Entranz,https://www.crunchbase.com/organization/entranz,Seed,100000,4/3/13
Wrevel Inc.,https://www.crunchbase.com/organization/wrevel,Seed,100000,12/1/16
Padlock Therapeutics,https://www.crunchbase.com/organization/padlock-therapeutics,Series A,10680000,4/7/14
HITbills,https://www.crunchbase.com/organization/moneysaveapp,Series A,1750000,8/26/14
SweepBright,https://www.crunchbase.com/organization/sweepbright,Series A,1500000,3/31/17
Keemotion,https://www.crunchbase.com/organization/keemotion,Seed,1500000,1/1/12
replex,https://www.crunchbase.com/organization/replex-gmbh,Seed,1500000,5/10/17
Mazen,https://www.crunchbase.com/organization/mazen,Series A,1450000,9/7/16
Never Eat Alone,https://www.crunchbase.com/organization/never-eat-alone,Seed,1300000,12/14/16
Stimergy,https://www.crunchbase.com/organization/stimergy,Seed,1250000,1/25/16
Algolia,https://www.crunchbase.com/organization/algolia,Seed,1200000,10/1/13
Cashforce,https://www.crunchbase.com/organization/cashforce,Series A,1000000,1/13/16
Xylo,https://www.crunchbase.com/organization/xylo,Seed,1000000,7/1/14
ALIVE,https://www.crunchbase.com/organization/alive-2,Seed,700000000,9/3/15
The Alpha Labs Inc,https://www.crunchbase.com/organization/the-alpha-labs,Seed,50000000,6/29/15
VideoFactory Inc.,https://www.crunchbase.com/organization/videofactory-inc,Seed,450000000,9/21/15
Pivotal,https://www.crunchbase.com/organization/pivotal,Series A,946000000,4/1/13
GRAIL,https://www.crunchbase.com/organization/grail,Series B,900000000,3/2/17
Pivotal,https://www.crunchbase.com/organization/pivotal,Series C,653000000,5/5/16
OneWeb,https://www.crunchbase.com/organization/oneweb,Series A,500000000,6/26/15
Zenefits,https://www.crunchbase.com/organization/zenefits,Series C,500000000,5/6/15
Instacart,https://www.crunchbase.com/organization/instacart,Series D,400000000,3/7/17
WeWork,https://www.crunchbase.com/organization/wework,Series D,355000000,12/15/14
DraftKings,https://www.crunchbase.com/organization/draftkings,Series D,300000000,7/26/15
Affirm,https://www.crunchbase.com/organization/affirm,Series B,275000000,5/6/15
NantOmics,https://www.crunchbase.com/organization/nantomics,Series A,250800000,6/1/15
Zoox,https://www.crunchbase.com/organization/zoox,Series A,250000000,10/4/16
Avant,https://www.crunchbase.com/organization/avant-credit,Series D,225000000,12/4/14
Instacart,https://www.crunchbase.com/organization/instacart,Series C,220000000,1/13/15
Human Longevity,https://www.crunchbase.com/organization/human-longevity,Series B,220000000,4/5/16
Denali Therapeutics,https://www.crunchbase.com/organization/denali-therapeutics,Series A,217000000,5/14/15
Opendoor,https://www.crunchbase.com/organization/opendoor-2,Series D,210000000,12/1/16
Plenty Inc.,https://www.crunchbase.com/organization/see-jane-farm,Series B,200000000,7/19/17
Rubrik,https://www.crunchbase.com/organization/rubrik,Series D,180000000,4/28/17
letgo,https://www.crunchbase.com/organization/letgo,Series C,175000000,1/17/17
Flatiron Health,https://www.crunchbase.com/organization/flatiron-health,Series C,175000000,1/6/16
Royole Corporation,https://www.crunchbase.com/organization/royole-corporation,Series C,172000000,8/18/15
Casper,https://www.crunchbase.com/organization/casper,Series C,170000000,6/18/17
Clover Health,https://www.crunchbase.com/organization/clover-health,Series C,160000000,5/20/16
Carvana,https://www.crunchbase.com/organization/carvana,Series C,160000000,8/10/16
Bright Health,https://www.crunchbase.com/organization/bright-health,Series B,160000000,6/1/17
"Nauto, Inc.",https://www.crunchbase.com/organization/nauto-inc,Series B,159000000,7/19/17
WeWork,https://www.crunchbase.com/organization/wework,Series C,150000000,10/20/13
Oscar,https://www.crunchbase.com/organization/oscar,Series C,145000000,4/20/15
