Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount,Status
Wokrr,https://www.crunchbase.com/organization/wokrr,,"San Jose, California, United States","Wokrr is based in San Jose, California, United States.",,1/1/16,,1,1/1/00,1111,Seed,1111,Closed
BUILT IMAGES,https://www.crunchbase.com/organization/hometica,"Media and Entertainment, Real Estate, Content and Publishing","San Clemente, California, United States",BUILT IMAGES stretches the imagination with Rights Managed & Royalty-Free Home and Architecture stock imagery.,,1/1/12,,1,2/14/04,250000,Seed,250000,Operating
Dick or Bro,https://www.crunchbase.com/organization/dick-or-bro,"Media and Entertainment, Internet Services","Los Angeles, California, United States",celebrity voting,"54,374",1/1/12,,1,1/1/11,150000,Seed,150000,Closed
StoryWorth,https://www.crunchbase.com/organization/storyworth,Internet Services,"San Francisco, California, United States",StoryWorth makes it easy for people to privately record their family stories.,"41,889",11/1/12,,1,3/1/11,167000,Seed,167000,Operating
Ethonova,https://www.crunchbase.com/organization/ethonova,,"San Francisco, California, United States","Ethonova Inc is a corporation located in San Francisco, California. Charitable donations to this organization are deductible. The Ethonova","57,167",1/1/12,,1,7/20/11,40000,Seed,40000,Operating
Harbor BioSciences,https://www.crunchbase.com/organization/harbor-biosciences,"Biotechnology, Science and Engineering, Health Care","San Diego, California, United States",Harbor TherapeuticsŒædevelops a proprietary class of adrenal steroid hormones as novel pharmaceuticals and nutraceuticals for human health.,"34,813",1/1/12,,1,8/12/11,2825000,Seed,2825000,Operating
Appsembler,https://www.crunchbase.com/organization/appsembler,"Software, Education","Somerville, Massachusetts, United States","Appsembler helps trainers and educators deliver better online learning experiences with one, easy-to-use platform.","25,986",1/1/12,,1,1/1/12,118000,Seed,118000,Operating
Autocosta,https://www.crunchbase.com/organization/autocosta,Transportation,"Los Angeles, California, United States",Autocosta is a web portal of cost-to-own reports created to educate and empower car shoppers to make better decisions.,"44,795",4/1/12,,1,1/1/12,1100000,Seed,1100000,Operating
Baboo,https://www.crunchbase.com/organization/baboo,"Data and Analytics, Software, Design","Los Angeles, California, United States",Baboo is focused on serving entertainment and associated consumer product brands.,"50,623",1/1/12,,1,1/1/12,250000,Seed,250000,Operating
BindHQ,https://www.crunchbase.com/organization/bindhq,"Software, Internet Services, Financial Services","Tustin, California, United States",Cloud based agency management & CRM tool,"41,280",1/1/12,,1,1/1/12,500000,Seed,500000,Operating
Copyrightys,https://www.crunchbase.com/organization/copyrightys,Professional Services,"Palo Alto, California, United States",Immediate Copyright Verification,"62,739",1/1/12,,1,1/1/12,10000,Seed,10000,Operating
CU Appraisal Services,https://www.crunchbase.com/organization/cu-appraisal-services,,"Fairborn, Ohio, United States",CU Appraisal Services provides collateral valuation and risk mitigation services to the credit union industry.,"52,631",1/1/12,,1,1/1/12,600000,Seed,600000,Operating
CureSquare,https://www.crunchbase.com/organization/curesquare,Health Care,"Chicago, Illinois, United States",CureSquare is a concierge physician appointment service that helps patients secure appointments with doctors.,"51,386",1/1/12,,1,1/1/12,375000,Seed,375000,Closed
GLADvertising.com,https://www.crunchbase.com/organization/gladvertising-com,"Software, Sales and Marketing, Internet Services, Advertising","Northbrook, Illinois, United States",GLADvertising.com is an online platform that provides cost-effective internet marketing solutions for small- and medium-sized businesses.,"55,053",1/1/12,,1,1/1/12,150000,Seed,150000,Operating
iBidGames,https://www.crunchbase.com/organization/interactive-bid-games-inc,"Apps, Commerce and Shopping, Software","Las Vegas, Nevada, United States",Interactive Bid Games produces and develops applications and interactive auction games for mobile,"45,751",4/20/12,,1,1/1/12,500000,Seed,500000,Operating
ishBowl,https://www.crunchbase.com/organization/ishbowl,"Sports, Sales and Marketing","San Francisco, California, United States",ishBowl allows businesses to create customized in-store video playlists based on the brands that are sold in that particular market.,"61,579",1/1/12,,1,1/1/12,25000,Seed,25000,Closed
KnoCo,https://www.crunchbase.com/organization/knoco,"Gaming, Media and Entertainment, Education","Memphis, Tennessee, United States",Knoco is a developer of educational video games with one-to-one tutorials.,"63,495",1/1/12,,1,1/1/12,15000,Seed,15000,Operating
LXSN,https://www.crunchbase.com/organization/lxsn,"Media and Entertainment, Internet Services","Palo Alto, California, United States",LXSN (linkscross) is an open social platform that utilizes user location and purchase data to expand a user's social network.,"61,298",6/21/12,,1,1/1/12,25000,Seed,25000,Operating
Queue,https://www.crunchbase.com/organization/queue,"Media and Entertainment, Events","Sacramento, California, United States",Queue is an event management & ticketing platform for event producers designed to increase revenue while decreasing risk.,"31,762",1/1/12,,1,1/1/12,400000,Seed,400000,Was Acquired
Radio Runt Inc.,https://www.crunchbase.com/organization/radio-runt-inc,"Information Technology, Software, Internet Services, Messaging and Telecommunications","Bellevue, Washington, United States",Radio Runt offers a group-centric audio communication application for social and interest networks on Android and iOS devices.,"44,522",1/1/12,,1,1/1/12,1000000,Seed,1000000,Operating
RAREFORM,https://www.crunchbase.com/organization/rareform,"Commerce and Shopping, Sports","Santa Monica, California, United States",Building the best products that help sustain our playground. The eco-friendly choice for outdoor athletes. Enjoy your stay!,"45,772",1/1/12,,1,1/1/12,150000,Seed,150000,Operating
Revcaster,https://www.crunchbase.com/organization/revcaster,Travel and Tourism,"Portland, Oregon, United States",SaaS Competitor Intelligence Tool,"62,851",1/1/12,,1,1/1/12,25000,Seed,25000,Operating
Shopilly,https://www.crunchbase.com/organization/shopilly,"Commerce and Shopping, Information Technology, Sales and Marketing, Internet Services, Messaging and Telecommunications","Palo Alto, California, United States","Shopilly collects and organizes offers, coupons and receipts for you. So you can skip the clutter in your personal inbox.","35,190",1/1/12,,1,1/1/12,800000,Seed,800000,Operating
Spotster,https://www.crunchbase.com/organization/spotster,"Media and Entertainment, Events, Mobile","New York, New York, United States",Spotster operates a web and mobile platform that enables people to share and be informed of events that are happening in real time.,"32,894",6/1/12,,1,1/1/12,250000,Seed,250000,Closed
Spreadknowledge,https://www.crunchbase.com/organization/spreadknowledge,Sports,"Philadelphia, Pennsylvania, United States","SpreadKnowledge is a sports picking and tipping platform that allows users to create contests, demonstrate sports knowledge, and more.","58,019",1/1/12,,1,1/1/12,200000,Seed,200000,Operating
Yakify,https://www.crunchbase.com/organization/yakify,Real Estate,"Manhattan Beach, California, United States","Yakify connects homeowners and design enthusiasts with top interior designers and architects, to help them create their dream home.","58,568",1/1/12,,1,1/1/12,100000,Seed,100000,Closed
"Zoomph, Inc.",https://www.crunchbase.com/organization/zoomph,"Apps, Media and Entertainment, Information Technology, Data and Analytics, Software, Sales and Marketing, Internet Services, Design","Reston, Virginia, United States","Zoomph pinpoints contextually relevant social media trends, moments & people in realtime to power effective marketing programs","22,988",1/1/12,,1,1/1/12,500000,Seed,500000,Operating
The Political Student,https://www.crunchbase.com/organization/the-political-student,"Media and Entertainment, Internet Services, Content and Publishing","Saratoga, California, United States",The Political Student is a Northern California-based community that develops and maintains a news and opinion website.,"79,411",7/1/12,,1,1/1/12,1000,Seed,1000,Operating
SiphonLabs,https://www.crunchbase.com/organization/siphonlabs,"Media and Entertainment, Software, Internet Services, Content and Publishing","Dallas, Texas, United States",Premium Managed WordPress Hosting,"45,153",3/1/13,,1,1/1/12,860000,Seed,860000,Operating
Fundology,https://www.crunchbase.com/organization/fundology,"Information Technology, Privacy and Security, Financial Services","Chicago, Illinois, United States",Fundology is a high security M&A project management platform for complex transactions and due diligence.,"40,079",1/2/12,,1,1/2/12,500000,Seed,500000,Operating
Bolster,https://www.crunchbase.com/organization/bolster,"Real Estate, Financial Services","New York, New York, United States",Platform for major home renovation projects (operating at 98.7% on time and 99.3% on budget as of Feb 17),"21,022",1/3/12,,1,1/3/12,750000,Seed,750000,Operating
PiperScout,https://www.crunchbase.com/organization/piperscout,"Hardware, Commerce and Shopping, Consumer Electronics, Mobile","Dunwoody, Georgia, United States",PiperScout is a mobile solutions company that provides mobile accessories and managed mobility services to Consumers and businesses.,"52,108",2/1/12,,1,1/5/12,250000,Seed,250000,Operating
CrowdClock,https://www.crunchbase.com/organization/crowdclock,"Platforms, Apps, Software, Internet Services, Mobile","Carlsbad, California, United States",CrowdClock is a time management tool that can easily be implemented in to businesses.,"55,789",1/3/12,,1,1/6/12,80000,Seed,80000,Operating
LetsWombat,https://www.crunchbase.com/organization/letswombat,"Sales and Marketing, Advertising","New York, New York, United States",LetsWombat is a sales and marketing company providing interaction services that help brands connect with consumers.,"61,027",1/1/12,,1,1/9/12,25000,Seed,25000,Operating
Pictorious,https://www.crunchbase.com/organization/pictorious,"Media and Entertainment, Internet Services, Content and Publishing, Mobile","New York, New York, United States",Pictorious is a mobile contest app. Challenge brands and people to connect authentically around the globe through shared experiences.,"45,029",7/1/14,,1,1/12/12,25000,Seed,25000,Operating
Here On Biz,https://www.crunchbase.com/organization/here-on-biz,"Platforms, Apps, Media and Entertainment, Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","Calabasas, California, United States",Here On Biz offers a real-time networking app for business professionals to locate and interact with other professionals in their vicinity.,"40,710",1/15/12,,1,1/15/12,100000,Seed,100000,Operating
Manifest,https://www.crunchbase.com/organization/manifest,"Media and Entertainment, Internet Services, Mobile","Moscow Mills, Missouri, United States","Manifest is an app that lets people share their opinion on things, forming trends that reveal positive/negative attitude toward the subject.","59,047",1/15/12,,1,1/15/12,100000,Seed,100000,Operating
DreamCloset.com,https://www.crunchbase.com/organization/dreamcloset-com,"Clothing and Apparel, Design","Los Angeles, California, United States","DreamCloset.com is an online consignment store for designer clothing, fashion shoes, and accessories.","51,886",1/9/12,,1,1/17/12,100000,Seed,100000,Operating
BoxCat,https://www.crunchbase.com/organization/boxcat,Mobile,"San Gabriel, California, United States",Indie games collaboration micropublishin,"49,228",3/27/12,,1,1/18/12,250000,Seed,250000,Operating
Efficiency Exchange,https://www.crunchbase.com/organization/efficiency-exchange,"Energy, Data and Analytics","Sandston, Virginia, United States",Efficiency Exchange offers cost management applications that analyze operational bills and find cost-saving points for Chinese factories.,"45,951",1/20/12,,1,1/25/12,600000,Seed,600000,Operating
CloudAptitude,https://www.crunchbase.com/organization/cloudaptitude,"Media and Entertainment, Software, Internet Services","Memphis, Tennessee, United States","CloudAptitude is a social media managing tool that flags and alerts its users of previous detrimental comments, posts, and tweets.","63,452",1/28/12,,1,1/29/12,15000,Seed,15000,Closed
Friendsignia,https://www.crunchbase.com/organization/friendsignia,"Media and Entertainment, Information Technology, Software, Internet Services","Memphis, Tennessee, United States",Friendsignia is a relationship management tool that filters data from social networks to display the most relevant connections.,"64,048",1/29/12,6/1/13,1,1/29/12,15000,Seed,15000,Closed
Safety Hound,https://www.crunchbase.com/organization/the-safety-hound,Software,"Sparta, New Jersey, United States",Safety Hound,"64,512",1/28/12,,1,1/29/12,15000,Seed,15000,Operating
GetHired.com,https://www.crunchbase.com/organization/gethired-com,"Professional Services, Internet Services","Palo Alto, California, United States",GetHired is an applicant tracking system and recruiting software that connects job seekers with employers.,"21,480",1/30/12,,1,1/30/12,1750000,Seed,1750000,Operating
iGrez LLC,https://www.crunchbase.com/organization/igrez-llc,"Gaming, Mobile","Rancho Cordova, California, United States","iGrez is a mobile games publishing company that offers its users with Birdsii, a mobile game for iPhone devices.","63,621",1/30/12,,1,1/30/12,3000,Seed,3000,Operating
FitWithMe,https://www.crunchbase.com/organization/fitwithme,"Media and Entertainment, Sports, Health Care, Internet Services","Marietta, Georgia, United States",1st Platform in The World With Social Wo,"53,835",1/1/12,,1,1/31/12,250000,Seed,250000,Operating
Matchpoint,https://www.crunchbase.com/organization/matchpoint,"Media and Entertainment, Data and Analytics, Video","West Hollywood, California, United States",Connecting Great Music with Great Film,"39,871",1/1/12,,1,1/31/12,500000,Seed,500000,Operating
Skoovy,https://www.crunchbase.com/organization/skoovy,"Media and Entertainment, Internet Services","Scottsdale, Arizona, United States","Skoovy, a social networking site, provides travel deals and news, and enables users to collect photos and link to things around them.","40,723",2/1/12,,1,2/1/12,750000,Seed,750000,Operating
SupplySeeker.com,https://www.crunchbase.com/organization/supplyseeker-com,"Commerce and Shopping, Sales and Marketing","New York, New York, United States",SupplySeeker.com is an online platform that offers business partnership sourcing services to connect suppliers with relevant resellers.,"60,908",2/1/12,11/1/13,1,2/1/12,100000,Seed,100000,Closed
Syllabuster,https://www.crunchbase.com/organization/syllabuster,"Platforms, Apps, Data and Analytics, Software, Education, Mobile","San Francisco, California, United States","Syllabuster is an application that enables college students to track and manage their classes, schedules, coursework, and more.","58,822",2/1/12,,1,2/1/12,20000,Seed,20000,Operating
ValPark Mobile,https://www.crunchbase.com/organization/valpark-mobile,"Transportation, Payments, Internet Services, Financial Services, Mobile","Upper Marlboro, Maryland, United States","Find, Pay and Request your Vehicle from Valet & Garage Parking.","40,521",1/22/12,,1,2/1/12,35000,Seed,35000,Operating
Who@,https://www.crunchbase.com/organization/whoat,"Information Technology, Software, Mobile","San Francisco, California, United States",WhoAt helps people discover the value of their relationships everyday.,"30,643",1/1/12,,1,2/1/12,2200000,Seed,2200000,Operating
Taskhero.com,https://www.crunchbase.com/organization/taskhero-com,"Media and Entertainment, Software, Professional Services, Internet Services, Mobile","San Diego, California, United States",Taskhero.com is an online marketplace enabling users to outsource daily tasks and errands to verified military veterans and GI's.,"49,359",4/17/12,,1,2/3/12,35000,Seed,35000,Operating
mChron,https://www.crunchbase.com/organization/mchron,"Apps, Information Technology, Software, Mobile","Palo Alto, California, United States",mChron is a development stage company based in California that designs and develops consumer-based mobile applications.,"40,639",1/1/12,,1,2/8/12,650000,Seed,650000,Operating
Scholaroo,https://www.crunchbase.com/organization/scholaroo,Commerce and Shopping,"San Francisco, California, United States",Our Scholaroo product simplifies the process of finding college funding by providing instant college scholarship alertsäóîa multimedia,"56,405",1/1/12,,1,2/10/12,40000,Seed,40000,Operating
Starbates,https://www.crunchbase.com/organization/starbates,"Commerce and Shopping, Sales and Marketing, Mobile","Fullerton, California, United States",Starbates is a web-based platform that helps restaurants and customers connect with each other.,"62,383",1/1/12,,1,2/14/12,20000,Seed,20000,Closed
WomStreet,https://www.crunchbase.com/organization/womstreet,"Media and Entertainment, Sales and Marketing, Internet Services, Advertising","Madison, Wisconsin, United States",WomStreet is a social media platform that enables brands to engage with creative communities via crowdsourced contests.,"60,318",2/14/12,,1,2/14/12,35000,Seed,35000,Operating
Crowd Play,https://www.crunchbase.com/organization/crowd-play,"Media and Entertainment, Software, Internet Services, Video","New York, New York, United States","Crowd Play develops film apps such as Flicklist, an iPhone app that helps users find the best films to watch based on trusted opinions.","38,641",2/15/12,,1,2/15/12,500000,Seed,500000,Operating
Political Matchmakers,https://www.crunchbase.com/organization/political-matchmakers,"Media and Entertainment, Community and Lifestyle, Internet Services","Irvine, California, United States",Political Matchmakers,"60,540",2/1/12,,1,2/15/12,75000,Seed,75000,Operating
Second & Fourth,https://www.crunchbase.com/organization/second-fourth,Media and Entertainment,"Newburyport, Massachusetts, United States","Second & Forth provides investing, advisory, and consulting services to pre-seed and early-stage companies in the internet market.","55,362",1/1/12,,1,2/15/12,50000,Seed,50000,Operating
Halfstack Magazine,https://www.crunchbase.com/organization/halfstack-magazine,"Media and Entertainment, Community and Lifestyle, Clothing and Apparel, Content and Publishing, Design","Chicago, Illinois, United States",Attainable Lifestyle Digital Publication,"68,693",1/1/12,,1,2/23/12,3600,Seed,3600,Operating
Tinker Square,https://www.crunchbase.com/organization/tinker-square,"Information Technology, Data and Analytics, Software, Artificial Intelligence","Woodstock, New York, United States",Tinker Square operates in the information technology sector.,"49,649",1/1/12,,1,2/24/12,45000,Seed,45000,Operating
ONtheAIR,https://www.crunchbase.com/organization/ontheair,"Media and Entertainment, Information Technology, Internet Services, Video, Content and Publishing, Messaging and Telecommunications","San Francisco, California, United States",ONtheAIR is a streaming video platform allowing anyone watching a live stream to video chat with the host in front of the audience.,"35,507",1/1/12,,1,2/27/12,880000,Seed,880000,Was Acquired
EmployInsight,https://www.crunchbase.com/organization/employinsight,"Professional Services, Internet Services","Alexandria, Virginia, United States",EmployInsight is a web-based platform for measuring and quantifying employee soft skills in the workplace.,"36,090",1/1/12,,1,2/28/12,1000000,Seed,1000000,Was Acquired
Gaston Labs,https://www.crunchbase.com/organization/gaston-labs,"Media and Entertainment, Content and Publishing","Palo Alto, California, United States",Gaston Labs is a video and photo sharing service.,"51,410",1/1/12,2/1/13,1,3/1/12,100000,Seed,100000,Closed
Monthlys,https://www.crunchbase.com/organization/monthlys,Commerce and Shopping,"Chicago, Illinois, United States","Monthlys is an online marketplace for individuals to discover, purchase, gift, and manage product subscriptions and memberships.","43,303",1/1/12,,1,3/1/12,1000000,Seed,1000000,Closed
Picklify,https://www.crunchbase.com/organization/picklify,"Commerce and Shopping, Media and Entertainment, Internet Services","Philadelphia, Pennsylvania, United States",Picklify personalizes the shopping experience via a streamlined interface by allowing users to buy and sell in real time.,"62,987",3/1/12,7/1/13,1,3/1/12,13000,Seed,13000,Closed
Portable Scores,https://www.crunchbase.com/organization/portable-scores,"Gaming, Hardware, Media and Entertainment, Software, Sports, Internet Services","Madison, Wisconsin, United States",Portable Scores is a sports-related company developing a connected portable electronic scoreboard for recreational sports.,"58,790",2/11/12,,1,3/1/12,25000,Seed,25000,Operating
Spot On Foods,https://www.crunchbase.com/organization/spot-on-foods,"Commerce and Shopping, Food and Beverage","Lynnwood, Washington, United States","Founder of Spot On Foods, a Seattle-based wholesale baking company.","56,597",1/1/12,,1,3/1/12,75000,Seed,75000,Operating
vushaper,https://www.crunchbase.com/organization/vushaper,"Platforms, Media and Entertainment, Software, Video, Content and Publishing, Mobile","Santa Barbara, California, United States",Vushaper is a company that develops software to provide unique television experiences for viewers.,"56,984",1/1/12,,1,3/1/12,200000,Seed,200000,Operating
"Wantboards, Inc.",https://www.crunchbase.com/organization/wantboards-inc-,"Commerce and Shopping, Mobile","Irvine, California, United States","A first-of-kind demand-based online marketplace where buyers post what they want, and we connect them with local sellers.","47,394",1/1/12,,1,3/1/12,200000,Seed,200000,Operating
QuickSolar,https://www.crunchbase.com/organization/quicksolar,"Natural Resources, Energy, Sustainability, Software, Sales and Marketing","San Diego, California, United States",QuickSolar allows professionals to quickly and easily design a solar energy system on their customers' or clients' rooftops.,"58,023",1/1/14,,1,3/1/12,50000,Seed,50000,Operating
Amara Organic Foods,https://www.crunchbase.com/organization/amara-baby-food,"Commerce and Shopping, Food and Beverage","California, United States, North America","Radically changing the way we eat, starting with our smallest foodies. The next generation of homemade, anytime, anywhere.","49,833",1/1/12,,1,3/8/12,40000,Seed,40000,Operating
Amind,https://www.crunchbase.com/organization/amind,Commerce and Shopping,"San Ramon, California, United States",Amind provides computerized cognitive for behavioral psychology.,"57,927",1/1/12,,1,3/8/12,40000,Seed,40000,Operating
transOMIC,https://www.crunchbase.com/organization/transomic,"Biotechnology, Science and Engineering, Health Care","Huntsville, Alabama, United States","transOMIC is a biotechnology startup that provides cDNA, ORF, shRNA, and CRISPR reagents to the research society.","58,939",1/1/12,,1,3/8/12,20000,Seed,20000,Operating
TLBX.me,https://www.crunchbase.com/organization/tlbx-me,Professional Services,"New York, New York, United States","TalentBox is a place where talent meets opportunity. We enable companies, teams and groups to identify and recruit top talent in an","60,561",1/1/12,,1,3/9/12,40000,Seed,40000,Operating
Social Yuppies,https://www.crunchbase.com/organization/social-yuppies,"Media and Entertainment, Sales and Marketing, Advertising","Atlanta, Georgia, United States",Social Yuppies provides deals and incentives to customers looking for nightlife and entertainment options in their localities.,"62,760",3/15/12,,1,3/15/12,15500,Seed,15500,Operating
FrameBuzz,https://www.crunchbase.com/organization/framebuzz,"Media and Entertainment, Video, Content and Publishing","Austin, Texas, United States",FrameBuzz offers a web-based application that allows users to create dialogues around pre-recorded content.,"55,044",1/1/13,,1,3/15/12,100000,Seed,100000,Operating
Metaresolver,https://www.crunchbase.com/organization/metaresolver,"Sales and Marketing, Mobile, Advertising","San Francisco, California, United States",Metaresolver is a technology and data platform powering programmatic buying for mobile performance marketers.,"34,443",1/1/12,,1,3/19/12,1850000,Seed,1850000,Was Acquired
Ruzuku,https://www.crunchbase.com/organization/ruzuku,"Software, Education","Durham, North Carolina, United States",Ruzuku provides a platform that allows experts to quickly and easily create online courses and learning communities.,"50,573",1/1/12,,1,3/19/12,50000,Seed,50000,Operating
Osurv,https://www.crunchbase.com/organization/osurv,"Data and Analytics, Design, Mobile","Los Angeles, California, United States",Osurv is a mobile survey platform that predicts customer behavior.,"42,336",1/3/12,5/5/17,1,3/21/12,20000,Seed,20000,Was Acquired
Paytopia,https://www.crunchbase.com/organization/paytopia,"Commerce and Shopping, Payments, Financial Services","Memphis, Tennessee, United States",Paytopia is an online payment system offering an alternative to credit card payments via email addresses and PIN codes.,"57,858",1/28/12,,1,3/24/12,15000,Seed,15000,Operating
Xtelligent Media,https://www.crunchbase.com/organization/xtelligent-media,Health Care,"Framingham, Massachusetts, United States",Xtelligent Media is an online media company focused on information technology in the healthcare industry.,"45,321",1/1/12,,1,3/28/12,800000,Seed,800000,Operating
ContentDJ,https://www.crunchbase.com/organization/contentdj,"Software, Sales and Marketing, Advertising","San Francisco, California, United States","ContentDJ helps small businesses, startups, and marketers identify quality niche content to publish to social media sites.","54,871",4/24/12,,1,3/31/12,40000,Seed,40000,Operating
Xfluential,https://www.crunchbase.com/organization/xfluential,"Media and Entertainment, Events, Internet Services","San Diego, California, United States",Xfluential is a social engagement cultivation tool.,"53,685",3/1/12,,1,3/31/12,170000,Seed,170000,Operating
Yattos,https://www.crunchbase.com/organization/yattos,Financial Services,"San Francisco, California, United States",Yattos is a social funding platform that enables users to organize social funding circles using their Facebook accounts.,"39,141",5/31/12,,1,3/31/12,400000,Seed,400000,Operating
A Curated World,https://www.crunchbase.com/organization/a-curated-world,Commerce and Shopping,"Providence, Rhode Island, United States","A Curated World offers online shopping for handcrafted fashion and home decor, and gives information on the people behind the products.","56,624",1/1/12,,1,4/1/12,50000,Seed,50000,Operating
Acopio,https://www.crunchbase.com/organization/acopio,"Agriculture and Farming, Food and Beverage, Data and Analytics","Oakland, California, United States","Acopio offers tools and services to collect, manage, and share data along the agricultural value chain.","57,249",1/1/12,,1,4/1/12,20000,Seed,20000,Operating
CropUp,https://www.crunchbase.com/organization/cropup,"Apps, Commerce and Shopping, Media and Entertainment, Software, Payments, Internet Services, Financial Services","Brooklyn, New York, United States","CropUp enables merchants to sell directly to their customers via social networks, blogs, and websites.","41,279",4/1/12,,1,4/1/12,1000000,Seed,1000000,Operating
Cuturia,https://www.crunchbase.com/organization/cuturia,"Clothing and Apparel, Design, Mobile","Los Angeles, California, United States",Cuturia is a fashion consignment app that enables sellers to post designer items on social networks.,"52,005",4/1/12,10/1/13,1,4/1/12,200000,Seed,200000,Closed
Dinamundo,https://www.crunchbase.com/organization/dinamundo,"Internet Services, Mobile","San Francisco, California, United States",Dinamundo is an online comedy social network.,"50,997",1/31/12,9/1/13,1,4/1/12,552000,Seed,552000,Closed
EventBrowse.com,https://www.crunchbase.com/organization/eventbrowsr-com,"Media and Entertainment, Information Technology, Events, Community and Lifestyle, Software, Sales and Marketing, Professional Services, Internet Services","New York, New York, United States",Helping you find the best events to attend,"51,604",1/1/12,,1,4/1/12,250000,Seed,250000,Operating
HashTip,https://www.crunchbase.com/organization/hashtip,"Media and Entertainment, Internet Services, Mobile","Edison, New Jersey, United States",HashTip is a social commerce application used by mothers to find and share tips on children's products and activities.,"54,895",3/12/12,6/1/13,1,4/1/12,200000,Seed,200000,Closed
Maple Farm Media,https://www.crunchbase.com/organization/maple-farm-media,"Media and Entertainment, Information Technology, Sales and Marketing, Internet Services, Privacy and Security, Messaging and Telecommunications, Advertising","Boston, Massachusetts, United States",Maple Farm Media offers a platform for businesses to track engagement and sales from every digital media channel.,"46,762",4/1/12,,1,4/1/12,500000,Seed,500000,Operating
My Friend's Lane,https://www.crunchbase.com/organization/my-friends-lane,Commerce and Shopping,"Avondale Estates, Georgia, United States",My Friend's Lane helps users search through their likes and dislikes to find the right service providers.,"66,279",2/1/12,,1,4/1/12,10000,Seed,10000,Operating
Thryve,https://www.crunchbase.com/organization/thryve,Software,"Miami, Florida, United States",Thryve is an application development company that offers a range of health-focused applications.,"50,062",1/1/12,,1,4/1/12,50000,Seed,50000,Closed
TrunqShow,https://www.crunchbase.com/organization/trunqshow,"Commerce and Shopping, Community and Lifestyle, Clothing and Apparel, Design, Mobile","New York, New York, United States",TrunqShow is a personalized shopping application for iPads allowing shoppers to discover and track sales activities.,"54,592",1/1/12,,1,4/1/12,225000,Seed,225000,Operating
Yumber,https://www.crunchbase.com/organization/yumber,Software,"San Diego, California, United States",Yumber develops word-of-mouth technology solutions for users to create their own verbal resource locators.,"49,910",1/1/12,,1,4/1/12,160000,Seed,160000,Operating
Cloze,https://www.crunchbase.com/organization/cloze,"Apps, Media and Entertainment, Software, Internet Services, Mobile","Somerville, Massachusetts, United States",Smarter Relationship Management. The no-work way to see everything about your contacts in one place.,"18,105",2/2/12,,1,4/2/12,1200000,Seed,1200000,Operating
Wittlebee,https://www.crunchbase.com/organization/wittlebee,"Commerce and Shopping, Community and Lifestyle, Clothing and Apparel, Design","Culver City, California, United States","Wittlebee is a kids' clothing company offering custom packages based on a childäó»s age, color preferences, and geographic location.","22,347",1/1/12,,1,4/5/12,2500000,Seed,2500000,Was Acquired
Incomparable Things,https://www.crunchbase.com/organization/incomparable-things,"Media and Entertainment, Internet Services","New York, New York, United States",Incomparable Things is building an inspiring and collaborative place to strive for an active and adventurous life.,"54,546",1/1/12,,1,4/10/12,40000,Seed,40000,Operating
Tubing Operations for Humanitarian Logistics (TOHL),https://www.crunchbase.com/organization/tubing-operations-for-humanitarian-logistics-t-o-h-l,"Natural Resources, Sustainability, Transportation","Atlanta, Georgia, United States",Tubing Operations for Humanitarian Logistics provides engineering services for the water industry.,"56,738",1/1/12,,1,4/10/12,40000,Seed,40000,Operating
TapFunder,https://www.crunchbase.com/organization/tapfunder,"Information Technology, Software, Internet Services, Messaging and Telecommunications, Mobile","Burlington, Washington, United States","TapFunder is a cloud-based, self-service platform that allows organizations and individuals to launch mobile donation campaigns.","59,712",3/1/12,,1,4/15/12,25000,Seed,25000,Operating
DTVCast,https://www.crunchbase.com/organization/dtvcast,"Media and Entertainment, Internet Services, Video","Weston, Florida, United States",DTVCast technology provides a broadband solution by turning UHF broadcast TV spectrum into a Internet broadband service.,"55,857",1/1/12,,1,4/17/12,120000,Seed,120000,Operating
Nalace Corporation,https://www.crunchbase.com/organization/nalace-corporation,"Commerce and Shopping, Clothing and Apparel, Design","Lawrenceville, Georgia, United States","Nalace Corporation was an online shopping store for party supplies, costumes and accessories.","65,354",1/1/12,,1,4/19/12,19000,Seed,19000,Closed
Safecare,https://www.crunchbase.com/organization/safecare,"Health Care, Education","Cleveland, Ohio, United States",Safecare is a web-based screening service that monitors nurses' aides and reports any act of abuse or criminal activities.,"63,912",1/1/12,,1,4/19/12,25000,Seed,25000,Closed
CrowdANALYTIX Inc,https://www.crunchbase.com/organization/crowdanalytix-inc,Data and Analytics,"Sunnyvale, California, United States","Provider of custom data and analytics subscription solutions to the retail, healthcare and insurance verticals","25,953",4/24/12,,1,5/1/12,2000000,Seed,2000000,Operating
Daily Pic,https://www.crunchbase.com/organization/daily-pic,"Media and Entertainment, Internet Services, Content and Publishing","Akron, Ohio, United States",Daily Pic,"56,011",5/1/12,,1,5/1/12,150000,Seed,150000,Operating
Easiest Credit Card To Get Approved For,https://www.crunchbase.com/organization/easiest-credit-card-to-get-approved-for,"Payments, Financial Services, Lending and Investments","Brentwood, Tennessee, United States",Easiest Credit Card To Get Approved For is an information portal providing unbiased information for people looking to obtain credit cards.,"62,545",5/11/12,5/1/13,1,5/1/12,25000,Seed,25000,Closed
