Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount,Status
Craft Nation,https://www.crunchbase.com/organization/craft-nation,"Commerce and Shopping, Media and Entertainment, Sustainability, Food and Beverage, Data and Analytics, Clothing and Apparel, Transportation, Design","Glen Rock, New Jersey, United States",Mobile Marketing for Craft Beverage Category,"29,524",12/1/15,,1,3/15/15,250000,Seed,250000,Operating
Altocloud,https://www.crunchbase.com/organization/altocloud,"Hardware, Information Technology, Software, Sales and Marketing","Mountain View, California, United States",Altocloud is a digital customer engagement platform.,"5,681",1/1/13,,1,3/16/15,2000000,Seed,2000000,Operating
BizzBook,https://www.crunchbase.com/organization/bizzbook,Software,"Cheyenne, Wyoming, United States",BizzBook offers a mobile application that enables its users to get on-demand local services via a text message.,"42,992",3/16/15,,1,3/16/15,100000,Seed,100000,Operating
Golfmiles Inc.,https://www.crunchbase.com/organization/golfmiles-inc,"Travel and Tourism, Commerce and Shopping, Sports, Sales and Marketing","Chicago, Illinois, United States",Golfmiles is an app that allows users to book golf tee times and receive rewards.,"32,612",1/1/12,,3,3/17/15,850000,Seed,1450000,Operating
Wekho,https://www.crunchbase.com/organization/wekho,"Apps, Travel and Tourism, Media and Entertainment, Software, Internet Services, Video","Miami, Florida, United States","Wekho, a geolocation-based social app, enables users to find and keep up with interesting events and places around their current locations.","43,721",5/31/13,,3,3/17/15,200000,Seed,350000,Operating
Textizen,https://www.crunchbase.com/organization/textizen,Mobile,"Philadelphia, Pennsylvania, United States",Access. Connect. Engage. It's time to reach people where they are,"44,387",1/1/13,,2,3/18/15,100000,Seed,450000,Was Acquired
Vimo Labs,https://www.crunchbase.com/organization/vimofit,"Hardware, Consumer Electronics, Sports, Mobile","Mountain View, California, United States",Smart apps that track human movement,"21,128",9/23/13,,2,3/20/15,1000000,Seed,1000000,Operating
Immerss,https://www.crunchbase.com/organization/immerss,"Media and Entertainment, Video, Content and Publishing","Dallas, Texas, United States",Immerss is a virtual marketplace for live presentations that connects Talent with the Audience.,"26,261",7/1/13,,2,3/21/15,1000000,Seed,2000000,Operating
Viirt,https://www.crunchbase.com/organization/viirt,Real Estate,"Omaha, Nebraska, United States",Viirt is an on demand platform for homeowners who need a new roof.,"33,079",1/1/14,,2,3/21/15,900000,Seed,920000,Operating
Day1 Solutions,https://www.crunchbase.com/organization/day1-solutions,"Information Technology, Internet Services","Mclean, Virginia, United States",Day1 Solutions is an emerging industry leader representing the new äóìCloud Solutions Provideräóù model,"16,842",1/1/12,,1,3/23/15,2000000,Seed,2000000,Was Acquired
GroupAhead,https://www.crunchbase.com/organization/groupahead,"Apps, Community and Lifestyle, Software","San Francisco, California, United States",GroupAhead enables real-life groups to create their own mobile apps to easily connect members.,"21,052",1/1/13,,1,3/23/15,875000,Seed,875000,Operating
tinyGive,https://www.crunchbase.com/organization/tinygive,"Media and Entertainment, Internet Services","Washington, District of Columbia, United States",TinyGive is a microphilanthropy platform that is changing the way people support causes through social media.,"56,796",12/1/12,,1,3/23/15,50000,Seed,50000,Was Acquired
